event,action,req_bytes,aligned_in_use,bytes_from_os,utilization,free_payload,overhead_est
0,alloc,3697,3700,4096,0.903320,332,64
1,alloc,2715,6416,8192,0.783203,1648,128
2,alloc,3343,9760,12288,0.794271,2336,192
3,alloc,331,10092,12288,0.821289,2004,192
4,alloc,1196,11288,12288,0.918620,776,224
5,alloc,2881,14172,16384,0.864990,1924,288
6,alloc,982,15156,16384,0.925049,908,320
7,alloc,2324,17480,20480,0.853516,2616,384
8,alloc,1948,19428,24576,0.790527,4700,448
9,alloc,3551,22980,28672,0.801479,5180,512
10,alloc,3478,26460,32768,0.807495,5732,576
11,alloc,3764,30224,36864,0.819878,6000,640
12,alloc,147,30372,36864,0.823893,5820,672
13,alloc,1980,32352,36864,0.877604,3808,704
14,alloc,4091,36444,45056,0.808860,7844,768
15,alloc,3552,39996,45056,0.887695,4260,800
16,alloc,253,40252,45056,0.893377,3972,832
17,alloc,3908,44160,49152,0.898438,4096,896
18,alloc,2267,46428,53248,0.871920,5860,960
19,alloc,1391,47820,53248,0.898062,4436,992
20,alloc,2096,49916,57344,0.870466,6372,1056
21,alloc,1461,51380,57344,0.895996,4876,1088
22,alloc,2102,53484,61440,0.870508,6804,1152
23,alloc,2175,55660,65536,0.849304,8660,1216
24,alloc,1702,57364,65536,0.875305,6924,1248
25,alloc,263,57632,65536,0.879395,6656,1248
26,alloc,1025,58660,65536,0.895081,5596,1280
27,alloc,368,59028,65536,0.900696,5196,1312
28,alloc,273,59312,65536,0.905029,4912,1312
29,alloc,2020,61332,69632,0.880802,6924,1376
30,alloc,3185,64520,73728,0.875109,7768,1440
31,alloc,337,64860,73728,0.879720,7396,1472
32,alloc,3379,68240,77824,0.876850,8048,1536
33,alloc,2854,71096,81920,0.867871,9224,1600
34,alloc,808,71904,81920,0.877734,8384,1632
35,alloc,235,72140,81920,0.880615,8116,1664
36,alloc,366,72524,81920,0.885303,7732,1664
37,alloc,1185,73712,81920,0.899805,6512,1696
38,alloc,2482,76196,86016,0.885835,8060,1760
39,alloc,10,76208,86016,0.885975,8016,1792
40,alloc,1524,77756,86016,0.903971,6468,1792
41,alloc,2541,80300,90112,0.891113,7956,1856
42,alloc,1305,81608,90112,0.905629,6616,1888
43,alloc,2617,84228,94208,0.894064,8028,1952
44,alloc,1096,85324,94208,0.905698,6900,1984
45,alloc,656,86012,94208,0.913001,6212,1984
46,alloc,3539,89552,98304,0.910970,6704,2048
47,alloc,491,90044,98304,0.915975,6212,2048
48,alloc,2507,92552,102400,0.903828,7736,2112
49,alloc,239,92792,102400,0.906172,7464,2144
50,alloc,1433,94228,102400,0.920195,5996,2176
51,alloc,1277,95508,102400,0.932695,4684,2208
52,alloc,2311,97820,106496,0.918532,6404,2272
53,alloc,2452,100272,110592,0.906684,7984,2336
54,alloc,3727,104000,114688,0.906808,8288,2400
55,alloc,2247,106248,118784,0.894464,10072,2464
56,alloc,2125,108376,122880,0.881966,11976,2528
57,alloc,690,109068,122880,0.887598,11252,2560
58,alloc,1296,110364,122880,0.898145,9924,2592
59,alloc,1258,111624,122880,0.908398,8632,2624
60,alloc,3621,115248,126976,0.907636,9040,2688
61,alloc,68,115328,126976,0.908266,8960,2688
62,alloc,631,115960,126976,0.913243,8296,2720
63,alloc,3609,119572,131072,0.912262,8716,2784
64,alloc,73,119660,131072,0.912933,8628,2784
65,alloc,2412,122072,135168,0.903113,10248,2848
66,alloc,2026,124100,139264,0.891113,12252,2912
67,alloc,1703,125804,139264,0.903349,10516,2944
68,alloc,697,126504,139264,0.908375,9784,2976
69,alloc,1803,128308,139264,0.921329,7948,3008
70,alloc,3925,132236,143360,0.922405,8052,3072
71,alloc,2415,134652,147456,0.913167,9668,3136
72,alloc,952,135604,147456,0.919623,8684,3168
73,alloc,228,135856,147456,0.921332,8432,3168
74,alloc,1076,136932,147456,0.928630,7324,3200
75,alloc,1584,138516,147456,0.939372,5708,3232
76,alloc,3237,141756,151552,0.935362,6500,3296
77,alloc,149,141920,151552,0.936444,6336,3296
78,alloc,1026,142948,155648,0.918406,9340,3360
79,alloc,2261,145212,155648,0.932951,7044,3392
80,alloc,1038,146252,159744,0.915540,10036,3456
81,alloc,2271,148524,159744,0.929763,7732,3488
82,alloc,1329,149856,163840,0.914648,10432,3552
83,alloc,1749,151608,163840,0.925342,8648,3584
84,alloc,3938,155548,167936,0.926234,8740,3648
85,alloc,2640,158188,172032,0.919527,10132,3712
86,alloc,807,158996,172032,0.924223,9292,3744
87,alloc,3456,162452,176128,0.922352,9868,3808
88,alloc,2981,165436,180224,0.917947,10916,3872
89,alloc,2997,168436,184320,0.913824,11948,3936
90,alloc,1664,170100,188416,0.902790,14316,4000
91,alloc,3843,173944,192512,0.903549,14504,4064
92,alloc,3146,177092,196608,0.900736,15388,4128
93,alloc,1549,178644,196608,0.908630,13804,4160
94,alloc,628,179276,196608,0.911845,13172,4160
95,alloc,3687,182964,200704,0.911611,13516,4224
96,alloc,3391,186356,204800,0.909941,14156,4288
97,alloc,3332,189688,208896,0.908050,14856,4352
98,alloc,770,190472,208896,0.911803,14072,4352
99,alloc,2013,192488,212992,0.903733,16088,4416
100,alloc,510,193000,212992,0.906137,15576,4416
101,alloc,1192,194192,212992,0.911734,14352,4448
102,alloc,2585,196780,217088,0.906453,15796,4512
103,alloc,443,197224,217088,0.908498,15352,4512
104,alloc,2494,199720,221184,0.902959,16888,4576
105,alloc,2712,202432,225280,0.898580,18208,4640
106,alloc,4009,206444,229376,0.900024,18228,4704
107,alloc,1846,208292,229376,0.908081,16348,4736
108,alloc,131,208424,229376,0.908657,16216,4736
109,alloc,2309,210736,233472,0.902618,17936,4800
110,alloc,1757,212496,237568,0.894464,20208,4864
111,alloc,2142,214640,237568,0.903489,18032,4896
112,alloc,3087,217728,241664,0.900953,18976,4960
