event,action,req_bytes,aligned_in_use,bytes_from_os,utilization,free_payload,overhead_est
0,alloc,3697,3700,4096,0.903320,332,64
1,alloc,2715,6416,8192,0.783203,1648,128
2,alloc,3343,9760,12288,0.794271,2336,192
3,alloc,331,10092,12288,0.821289,1972,224
4,alloc,1196,11288,12288,0.918620,744,256
5,alloc,2881,14172,16384,0.864990,1892,320
6,alloc,982,15156,16384,0.925049,876,352
7,alloc,2324,17480,20480,0.853516,2584,416
8,alloc,1948,19428,24576,0.790527,4668,480
9,alloc,3551,22980,28672,0.801479,5148,544
10,alloc,3478,26460,32768,0.807495,5700,608
11,alloc,3764,30224,36864,0.819878,5968,672
12,alloc,147,30372,36864,0.823893,5788,704
13,alloc,1980,32352,36864,0.877604,3776,736
14,alloc,4091,36444,45056,0.808860,7812,800
15,alloc,3552,39996,45056,0.887695,4228,832
16,alloc,253,40252,45056,0.893377,3940,864
17,alloc,3908,44160,49152,0.898438,4064,928
18,alloc,2267,46428,53248,0.871920,5828,992
19,alloc,1391,47820,53248,0.898062,4404,1024
20,alloc,2096,49916,57344,0.870466,6340,1088
21,alloc,1461,51380,57344,0.895996,4844,1120
22,alloc,2102,53484,61440,0.870508,6772,1184
23,alloc,2175,55660,65536,0.849304,8628,1248
24,alloc,1702,57364,65536,0.875305,6892,1280
25,alloc,263,57628,65536,0.879333,6596,1312
26,alloc,1025,58656,65536,0.895020,5536,1344
27,alloc,368,59024,65536,0.900635,5136,1376
28,alloc,273,59300,65536,0.904846,4828,1408
29,alloc,2020,61320,69632,0.880630,6840,1472
30,alloc,3185,64508,73728,0.874946,7684,1536
31,alloc,337,64848,73728,0.879557,7312,1568
32,alloc,3379,68228,77824,0.876696,7964,1632
33,alloc,2854,71084,81920,0.867725,9140,1696
34,alloc,808,71892,81920,0.877588,8300,1728
35,alloc,235,72128,81920,0.880469,8032,1760
36,alloc,366,72496,81920,0.884961,7632,1792
37,alloc,1185,73684,81920,0.899463,6412,1824
38,alloc,2482,76168,86016,0.885510,7960,1888
39,alloc,10,76180,86016,0.885649,7916,1920
40,alloc,1524,77704,86016,0.903367,6360,1952
41,alloc,2541,80248,90112,0.890536,7848,2016
42,alloc,1305,81556,90112,0.905051,6508,2048
43,alloc,2617,84176,94208,0.893512,7920,2112
44,alloc,1096,85272,94208,0.905146,6792,2144
45,alloc,656,85928,94208,0.912109,6104,2176
46,alloc,3539,89468,98304,0.910116,6596,2240
47,alloc,491,89960,98304,0.915120,6104,2240
48,alloc,2507,92468,102400,0.903008,7628,2304
49,alloc,239,92708,102400,0.905352,7356,2336
50,alloc,1433,94144,106496,0.884014,9952,2400
51,alloc,1277,95424,106496,0.896034,8640,2432
52,alloc,2311,97736,110592,0.883753,10360,2496
53,alloc,2452,100188,114688,0.873570,11940,2560
54,alloc,3727,103916,118784,0.874832,12244,2624
55,alloc,2247,106164,122880,0.863965,14028,2688
56,alloc,2125,108292,126976,0.852854,15932,2752
57,alloc,690,108984,126976,0.858304,15208,2784
58,alloc,1296,110280,126976,0.868511,13880,2816
59,alloc,1258,111540,126976,0.878434,12588,2848
60,alloc,3621,115164,131072,0.878632,12996,2912
61,alloc,68,115232,131072,0.879150,12896,2944
62,alloc,631,115864,131072,0.883972,12232,2976
63,alloc,3609,119476,135168,0.883907,12652,3040
64,alloc,73,119552,135168,0.884470,12544,3072
65,alloc,2412,121964,139264,0.875776,14164,3136
66,alloc,2026,123992,143360,0.864900,16168,3200
67,alloc,1703,125696,143360,0.876786,14432,3232
68,alloc,697,126396,143360,0.881669,13700,3264
69,alloc,1803,128200,147456,0.869412,15928,3328
70,alloc,3925,132128,151552,0.871833,16032,3392
71,alloc,2415,134544,155648,0.864412,17648,3456
72,alloc,952,135496,155648,0.870528,16664,3488
73,alloc,228,135724,155648,0.871993,16404,3520
74,alloc,1076,136800,155648,0.878906,15296,3552
75,alloc,1584,138384,155648,0.889083,13680,3584
76,alloc,3237,141624,159744,0.886569,14472,3648
77,alloc,149,141776,159744,0.887520,14288,3680
78,alloc,1026,142804,159744,0.893955,13228,3712
79,alloc,2261,145068,163840,0.885425,14996,3776
80,alloc,1038,146108,163840,0.891772,13924,3808
81,alloc,2271,148380,167936,0.883551,15684,3872
82,alloc,1329,149712,167936,0.891482,14320,3904
83,alloc,1749,151464,172032,0.880441,16600,3968
84,alloc,3938,155404,176128,0.882336,16692,4032
85,alloc,2640,158044,180224,0.876931,18084,4096
86,alloc,807,158852,180224,0.881414,17244,4128
87,alloc,3456,162308,184320,0.880577,17820,4192
88,alloc,2981,165292,188416,0.877272,18868,4256
89,alloc,2997,168292,192512,0.874190,19900,4320
90,alloc,1664,169956,192512,0.882833,18204,4352
91,alloc,3843,173800,196608,0.883993,18392,4416
92,alloc,3146,176948,200704,0.881637,19276,4480
93,alloc,1549,178500,204800,0.871582,21756,4544
94,alloc,628,179128,204800,0.874648,21096,4576
95,alloc,3687,182816,208896,0.875153,21440,4640
96,alloc,3391,186208,212992,0.874249,22080,4704
97,alloc,3332,189540,217088,0.873102,22780,4768
98,alloc,770,190312,217088,0.876658,21976,4800
99,alloc,2013,192328,221184,0.869538,23992,4864
100,alloc,510,192840,221184,0.871853,23448,4896
101,alloc,1192,194032,221184,0.877242,22224,4928
102,alloc,2585,196620,225280,0.872781,23668,4992
103,alloc,443,197064,225280,0.874751,23192,5024
104,alloc,2494,199560,229376,0.870013,24728,5088
105,alloc,2712,202272,233472,0.866365,26048,5152
106,alloc,4009,206284,237568,0.868316,26068,5216
107,alloc,1846,208132,241664,0.861245,28252,5280
108,alloc,131,208264,241664,0.861792,28088,5312
109,alloc,2309,210576,245760,0.856836,29808,5376
110,alloc,1757,212336,245760,0.863997,28016,5408
111,alloc,2142,214480,249856,0.858414,29904,5472
112,alloc,3087,217568,253952,0.856729,30848,5536
