event,action,req_bytes,aligned_in_use,bytes_from_os,utilization,free_payload,overhead_est
0,alloc,3697,3700,4096,0.903320,332,64
1,alloc,2715,6416,8192,0.783203,1648,128
2,alloc,3343,9760,12288,0.794271,2336,192
3,alloc,331,10092,12288,0.821289,1972,224
4,alloc,1196,11288,12288,0.918620,744,256
5,alloc,2881,14172,16384,0.864990,1892,320
6,alloc,982,15156,16384,0.925049,876,352
7,alloc,2324,17480,20480,0.853516,2584,416
8,alloc,1948,19428,24576,0.790527,4668,480
9,alloc,3551,22980,28672,0.801479,5148,544
10,alloc,3478,26460,32768,0.807495,5700,608
11,alloc,3764,30224,36864,0.819878,5968,672
12,alloc,147,30372,36864,0.823893,5788,704
13,alloc,1980,32352,36864,0.877604,3776,736
14,alloc,4091,36444,45056,0.808860,7812,800
15,alloc,3552,39996,45056,0.887695,4228,832
16,alloc,253,40252,45056,0.893377,3940,864
17,alloc,3908,44160,49152,0.898438,4064,928
18,alloc,2267,46428,53248,0.871920,5828,992
19,alloc,1391,47848,53248,0.898588,4408,992
20,alloc,2096,49944,57344,0.870954,6344,1056
21,alloc,1461,51408,57344,0.896484,4848,1088
22,alloc,2102,53512,61440,0.870964,6776,1152
23,alloc,2175,55688,65536,0.849731,8632,1216
24,alloc,1702,57392,65536,0.875732,6896,1248
25,alloc,263,57660,65536,0.879822,6628,1248
26,alloc,1025,58688,65536,0.895508,5568,1280
27,alloc,368,59056,65536,0.901123,5168,1312
28,alloc,273,59332,65536,0.905334,4860,1344
29,alloc,2020,61352,69632,0.881089,6872,1408
30,alloc,3185,64540,73728,0.875380,7716,1472
31,alloc,337,64880,73728,0.879991,7344,1504
32,alloc,3379,68260,77824,0.877107,7996,1568
33,alloc,2854,71116,81920,0.868115,9172,1632
34,alloc,808,71924,81920,0.877979,8332,1664
35,alloc,235,72160,81920,0.880859,8064,1696
36,alloc,366,72528,81920,0.885352,7664,1728
37,alloc,1185,73716,81920,0.899854,6444,1760
38,alloc,2482,76200,86016,0.885882,7992,1824
39,alloc,10,76212,86016,0.886021,7948,1856
40,alloc,1524,77736,90112,0.862660,10456,1920
41,alloc,2541,80280,94208,0.852157,11944,1984
42,alloc,1305,81588,94208,0.866041,10604,2016
43,alloc,2617,84208,98304,0.856608,12016,2080
44,alloc,1096,85304,98304,0.867757,10888,2112
45,alloc,656,85960,98304,0.874430,10200,2144
46,alloc,3539,89500,102400,0.874023,10692,2208
47,alloc,491,89992,102400,0.878828,10168,2240
48,alloc,2507,92500,106496,0.868577,11692,2304
49,alloc,239,92740,106496,0.870831,11420,2336
50,alloc,1433,94176,106496,0.884315,9952,2368
51,alloc,1277,95472,106496,0.896484,8656,2368
52,alloc,2311,97784,110592,0.884187,10376,2432
53,alloc,2452,100236,114688,0.873989,11956,2496
54,alloc,3727,103964,118784,0.875236,12260,2560
55,alloc,2247,106212,122880,0.864355,14044,2624
56,alloc,2125,108340,126976,0.853232,15948,2688
57,alloc,690,109032,126976,0.858682,15224,2720
58,alloc,1296,110328,126976,0.868889,13896,2752
59,alloc,1258,111588,126976,0.878812,12604,2784
60,alloc,3621,115212,131072,0.878998,13012,2848
61,alloc,68,115280,131072,0.879517,12912,2880
62,alloc,631,115912,131072,0.884338,12248,2912
63,alloc,3609,119524,135168,0.884263,12668,2976
64,alloc,73,119600,135168,0.884825,12560,3008
65,alloc,2412,122012,139264,0.876120,14180,3072
66,alloc,2026,124040,143360,0.865234,16184,3136
67,alloc,1703,125744,143360,0.877121,14448,3168
68,alloc,697,126444,143360,0.882003,13716,3200
69,alloc,1803,128248,147456,0.869737,15944,3264
70,alloc,3925,132176,151552,0.872149,16048,3328
71,alloc,2415,134592,155648,0.864720,17664,3392
72,alloc,952,135544,155648,0.870837,16680,3424
73,alloc,228,135772,155648,0.872302,16420,3456
74,alloc,1076,136848,155648,0.879215,15312,3488
75,alloc,1584,138432,155648,0.889391,13696,3520
76,alloc,3237,141672,159744,0.886869,14488,3584
77,alloc,149,141824,159744,0.887821,14304,3616
78,alloc,1026,142852,159744,0.894256,13244,3648
79,alloc,2261,145116,163840,0.885718,15012,3712
80,alloc,1038,146156,163840,0.892065,13940,3744
81,alloc,2271,148428,167936,0.883837,15700,3808
82,alloc,1329,149760,167936,0.891768,14336,3840
83,alloc,1749,151512,172032,0.880720,16616,3904
84,alloc,3938,155452,176128,0.882608,16708,3968
85,alloc,2640,158092,180224,0.877197,18100,4032
86,alloc,807,158900,180224,0.881681,17260,4064
87,alloc,3456,162356,184320,0.880838,17836,4128
88,alloc,2981,165340,188416,0.877526,18884,4192
89,alloc,2997,168340,192512,0.874439,19916,4256
90,alloc,1664,170004,192512,0.883083,18220,4288
91,alloc,3843,173848,196608,0.884237,18408,4352
92,alloc,3146,176996,200704,0.881876,19292,4416
93,alloc,1549,178576,200704,0.889748,17712,4416
94,alloc,628,179228,200704,0.892997,17060,4416
95,alloc,3687,182916,204800,0.893145,17404,4480
96,alloc,3391,186308,208896,0.891870,18044,4544
97,alloc,3332,189640,212992,0.890362,18744,4608
98,alloc,770,190412,212992,0.893987,17940,4640
99,alloc,2013,192428,217088,0.886406,19956,4704
100,alloc,510,192940,217088,0.888764,19412,4736
101,alloc,1192,194132,217088,0.894255,18188,4768
102,alloc,2585,196720,221184,0.889395,19632,4832
103,alloc,443,197164,221184,0.891403,19156,4864
104,alloc,2494,199660,225280,0.886275,20692,4928
105,alloc,2712,202372,229376,0.882272,22012,4992
106,alloc,4009,206384,233472,0.883978,22032,5056
107,alloc,1846,208232,237568,0.876515,24216,5120
108,alloc,131,208364,237568,0.877071,24052,5152
109,alloc,2309,210676,241664,0.871772,25772,5216
110,alloc,1757,212436,241664,0.879055,23980,5248
111,alloc,2142,214580,245760,0.873128,25868,5312
112,alloc,3087,217668,249856,0.871174,26812,5376
