event,action,req_bytes,aligned_in_use,bytes_from_os,utilization,free_payload,overhead_est
0,alloc,3697,3700,4096,0.903320,332,64
1,alloc,2715,6416,8192,0.783203,1648,128
2,alloc,3343,9760,12288,0.794271,2336,192
3,alloc,331,10092,12288,0.821289,1972,224
4,alloc,1196,11288,16384,0.688965,4808,288
5,alloc,2881,14172,20480,0.691992,5956,352
6,alloc,982,15156,20480,0.740039,4940,384
7,alloc,2324,17480,24576,0.711263,6648,448
8,alloc,1948,19428,28672,0.677595,8732,512
9,alloc,3551,22980,32768,0.701294,9212,576
10,alloc,3478,26460,36864,0.717773,9764,640
11,alloc,3764,30224,40960,0.737891,10032,704
12,alloc,147,30372,40960,0.741504,9852,736
13,alloc,1980,32352,45056,0.718040,11904,800
14,alloc,4091,36444,53248,0.684420,15940,864
15,alloc,3552,39996,53248,0.751127,12356,896
16,alloc,253,40252,53248,0.755934,12068,928
17,alloc,3908,44160,57344,0.770089,12192,992
18,alloc,2267,46428,61440,0.755664,13956,1056
19,alloc,1391,47820,61440,0.778320,12532,1088
20,alloc,2096,49916,65536,0.761658,14468,1152
21,alloc,1461,51380,65536,0.783997,12972,1184
22,alloc,2102,53484,69632,0.768095,14900,1248
23,alloc,2175,55660,73728,0.754937,16756,1312
24,alloc,1702,57364,73728,0.778049,15020,1344
25,alloc,263,57628,73728,0.781630,14724,1376
26,alloc,1025,58656,73728,0.795573,13664,1408
27,alloc,368,59024,73728,0.800564,13264,1440
28,alloc,273,59300,73728,0.804308,12956,1472
29,alloc,2020,61320,77824,0.787932,14968,1536
30,alloc,3185,64508,81920,0.787451,15812,1600
31,alloc,337,64848,81920,0.791602,15440,1632
32,alloc,3379,68228,86016,0.793201,16092,1696
33,alloc,2854,71084,90112,0.788841,17268,1760
34,alloc,808,71892,90112,0.797807,16428,1792
35,alloc,235,72128,90112,0.800426,16160,1824
36,alloc,366,72496,90112,0.804510,15760,1856
37,alloc,1185,73684,90112,0.817694,14540,1888
38,alloc,2482,76168,94208,0.808509,16088,1952
39,alloc,10,76180,94208,0.808636,16044,1984
40,alloc,1524,77704,98304,0.790446,18552,2048
41,alloc,2541,80248,102400,0.783672,20040,2112
42,alloc,1305,81556,102400,0.796445,18700,2144
43,alloc,2617,84176,106496,0.790415,20112,2208
44,alloc,1096,85272,106496,0.800706,18984,2240
45,alloc,656,85928,106496,0.806866,18296,2272
46,alloc,3539,89468,110592,0.808992,18788,2336
47,alloc,491,89960,110592,0.813440,18264,2368
48,alloc,2507,92468,114688,0.806257,19788,2432
49,alloc,239,92708,114688,0.808350,19516,2464
50,alloc,1433,94144,118784,0.792565,22112,2528
51,alloc,1277,95424,118784,0.803341,20800,2560
52,alloc,2311,97736,122880,0.795378,22520,2624
53,alloc,2452,100188,126976,0.789031,24100,2688
54,alloc,3727,103916,131072,0.792816,24404,2752
55,alloc,2247,106164,135168,0.785423,26188,2816
56,alloc,2125,108292,139264,0.777602,28092,2880
57,alloc,690,108984,139264,0.782571,27368,2912
58,alloc,1296,110280,139264,0.791877,26040,2944
59,alloc,1258,111540,139264,0.800925,24748,2976
60,alloc,3621,115164,143360,0.803320,25156,3040
61,alloc,68,115232,143360,0.803795,25056,3072
62,alloc,631,115864,143360,0.808203,24392,3104
63,alloc,3609,119476,147456,0.810248,24812,3168
64,alloc,73,119552,147456,0.810764,24704,3200
65,alloc,2412,121964,151552,0.804767,26324,3264
66,alloc,2026,123992,155648,0.796618,28328,3328
67,alloc,1703,125696,155648,0.807566,26592,3360
68,alloc,697,126396,155648,0.812063,25860,3392
69,alloc,1803,128200,159744,0.802534,28088,3456
70,alloc,3925,132128,163840,0.806445,28192,3520
71,alloc,2415,134544,167936,0.801162,29808,3584
72,alloc,952,135496,167936,0.806831,28824,3616
73,alloc,228,135724,167936,0.808189,28564,3648
74,alloc,1076,136800,167936,0.814596,27456,3680
75,alloc,1584,138384,172032,0.804408,29904,3744
76,alloc,3237,141624,176128,0.804097,30696,3808
77,alloc,149,141776,176128,0.804960,30512,3840
78,alloc,1026,142804,176128,0.810797,29452,3872
79,alloc,2261,145068,180224,0.804932,31220,3936
80,alloc,1038,146108,180224,0.810702,30148,3968
81,alloc,2271,148380,184320,0.805013,31908,4032
82,alloc,1329,149712,184320,0.812240,30544,4064
83,alloc,1749,151464,188416,0.803881,32824,4128
84,alloc,3938,155404,192512,0.807243,32916,4192
85,alloc,2640,158044,196608,0.803853,34308,4256
86,alloc,807,158852,196608,0.807963,33468,4288
87,alloc,3456,162308,200704,0.808693,34044,4352
88,alloc,2981,165292,204800,0.807090,35092,4416
89,alloc,2997,168292,208896,0.805626,36124,4480
90,alloc,1664,169956,212992,0.797945,38492,4544
91,alloc,3843,173800,217088,0.800597,38680,4608
92,alloc,3146,176948,221184,0.800004,39564,4672
93,alloc,1549,178500,221184,0.807020,37980,4704
94,alloc,628,179128,221184,0.809860,37320,4736
95,alloc,3687,182816,225280,0.811506,37664,4800
96,alloc,3391,186208,229376,0.811802,38304,4864
97,alloc,3332,189540,233472,0.811832,39004,4928
98,alloc,770,190312,233472,0.815138,38200,4960
99,alloc,2013,192328,237568,0.809570,40216,5024
100,alloc,510,192840,237568,0.811725,39672,5056
101,alloc,1192,194032,237568,0.816743,38448,5088
102,alloc,2585,196620,241664,0.813609,39892,5152
103,alloc,443,197064,241664,0.815446,39416,5184
104,alloc,2494,199560,245760,0.812012,40952,5248
105,alloc,2712,202272,249856,0.809554,42272,5312
106,alloc,4009,206284,253952,0.812295,42292,5376
107,alloc,1846,208132,258048,0.806563,44476,5440
108,alloc,131,208264,258048,0.807075,44312,5472
109,alloc,2309,210576,262144,0.803284,46032,5536
110,alloc,1757,212336,262144,0.809998,44240,5568
111,alloc,2142,214480,266240,0.805589,46128,5632
112,alloc,3087,217568,270336,0.804806,47072,5696
